	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	g__Clostridium sensu stricto 13	s__
OTU_2268	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
OTU_6141	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Gemmata	s__
OTU_3095	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_296	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_2883	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_3998	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 10	f__ABS-19	g__	s__
OTU_1515	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__
OTU_6339	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Nitrospinaceae	g__	s__
OTU_13667	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__CCA47	g__	s__
OTU_1952	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__Christensenellaceae R-7 group	s__
OTU_3897	k__Bacteria	p__Chloroflexi	c__S085	o__	f__	g__	s__
OTU_7112	Unassigned	p__	c__	o__	f__	g__	s__
OTU_791	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_5644	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes BD2-2	o__	f__	g__	s__
OTU_1628	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagae Incertae Sedis	f__	g__Thermoanaerobaculum	s__
OTU_4304	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_41	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__PeM15	f__	g__	s__
OTU_59	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Draconibacteriaceae	g__	s__
OTU_792	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__
OTU_2733	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_1844	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophaceae	g__	s__
OTU_609	k__Bacteria	p__Aminicenantes	c__	o__	f__	g__	s__
OTU_2563	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__AKYH478	g__	s__
OTU_6273	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__MSBL9	f__	g__	s__
OTU_1069	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_5789	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
OTU_6231	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Marinilabiaceae	g__	s__
OTU_2753	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__
OTU_3210	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__vadinBA26	f__	g__	s__
OTU_2811	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5031	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_3989	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylobacter	s__
OTU_4050	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 15	f__	g__	s__
OTU_52	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__
OTU_9583	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_6499	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseomonas	s__
OTU_4147	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Halieaceae	g__Halioglobus	s__
OTU_286	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Sulfuricurvum	s__
OTU_23	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__	s__
OTU_4672	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_2	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__
OTU_2399	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__	s__
OTU_684	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadales Incertae Sedis	g__	s__
OTU_9721	Unassigned	p__	c__	o__	f__	g__	s__
OTU_36	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__DA101 soil group	g__	s__
OTU_2853	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_161	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__	s__
OTU_2335	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__11-24	g__	s__
OTU_1761	k__Bacteria	p__Bacteroidetes	c__SB-5	o__	f__	g__	s__
OTU_13614	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__
OTU_7321	k__Bacteria	p__Chloroflexi	c__Ardenticatenia	o__	f__	g__	s__
OTU_6210	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 18	f__	g__	s__
OTU_2721	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__	g__Blastocatella	s__
OTU_192	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_3056	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	g__Clostridium sensu stricto 1	s__
OTU_9188	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__PHOS-HE51	g__	s__
OTU_12498	k__Bacteria	p__Cloacimonetes	c__PBS-18	o__	f__	g__	s__
OTU_171	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_471	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_4607	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__Fluviicola	s__
OTU_1230	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__
OTU_5549	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV40	g__	s__
OTU_2714	k__Bacteria	p__Chloroflexi	c__Caldilineae	o__Caldilineales	f__Caldilineaceae	g__	s__
OTU_3620	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Paenisporosarcina	s__
OTU_12367	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__	s__
OTU_7074	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_605	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Sva0081 sediment group	s__
OTU_2808	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_13923	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__KD3-10	g__	s__
OTU_94	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__
OTU_1805	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__WCHB1-69	g__	s__
OTU_123	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_859	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	g__Clostridium sensu stricto 1	s__
OTU_2317	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__
OTU_6062	k__Bacteria	p__Aminicenantes	c__	o__	f__	g__	s__
OTU_1646	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Order Incertae Sedis	f__Family Incertae Sedis	g__Marinicella	s__
OTU_387	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5862	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_37	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_5586	k__Bacteria	p__	c__	o__	f__	g__	s__
OTU_4302	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_3060	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__	s__
OTU_7055	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_14201	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__	f__	g__	s__
OTU_2859	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_2653	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_1494	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__4-29	g__	s__
OTU_993	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5177	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__UASB-TL25	g__	s__
OTU_575	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4513	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Order Incertae Sedis	f__Family Incertae Sedis	g__Marinicella	s__
OTU_12911	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
OTU_3800	k__Bacteria	p__Cloacimonetes	c__PBS-18	o__	f__	g__	s__
OTU_12389	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_2480	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Planosporangium	s__
OTU_4307	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
OTU_8662	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Leptolinea	s__
OTU_3827	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__	f__	g__	s__
OTU_592	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Illumatobacter	s__
OTU_243	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_1344	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__
OTU_2980	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__Terrestrial Miscellaneous Gp(TMEG)	g__	s__
OTU_359	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Erysipelothrix	s__
OTU_2426	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__
OTU_5371	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_550	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
OTU_1127	k__Bacteria	p__Bacteroidetes	c__SB-5	o__	f__	g__	s__
OTU_8760	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales Incertae Sedis	g__Rhizomicrobium	s__
OTU_2593	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__	f__	g__	s__
OTU_1486	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Pedomicrobium	s__
OTU_7903	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__	f__	g__	s__
OTU_5089	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Acidobacteriales	f__Acidobacteriaceae (Subgroup 1)	g__	s__
OTU_5	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Hydrogenophilales	f__Hydrogenophilaceae	g__Thiobacillus	s__
OTU_13495	k__Bacteria	p__Fibrobacteres	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__	s__
OTU_55	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_12273	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
OTU_10146	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__
OTU_1013	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_6051	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__Ignavibacterium	s__
OTU_1378	k__Bacteria	p__Chloroflexi	c__Ardenticatenia	o__	f__	g__	s__
OTU_1045	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Cryptosporangiaceae	g__Fodinicola	s__
OTU_6020	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__
OTU_84	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Illumatobacter	s__
OTU_3940	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 23	f__	g__	s__
OTU_157	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Geodermatophilaceae	g__	s__
OTU_13491	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Nitrospinaceae	g__	s__
OTU_10153	k__Bacteria	p__Bacteroidetes	c__SB-5	o__	f__	g__	s__
OTU_3693	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__Desulfobulbus	s__
OTU_3850	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_5333	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteriaceae	g__Rubrobacter	s__
OTU_31	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadales Incertae Sedis	g__	s__
OTU_3303	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_22	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadales Incertae Sedis	g__	s__
OTU_8229	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_1362	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU_12963	k__Bacteria	p__Thermotogae	c__Thermotogae	o__Thermotogales	f__Thermotogaceae	g__GAL15	s__
OTU_1579	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
OTU_4580	k__Bacteria	p__Spirochaetae	c__Spirochaetes	o__Spirochaetales	f__Leptospiraceae	g__	s__
OTU_2446	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__SJA-28	g__	s__
OTU_1521	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_2771	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
OTU_3302	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__
OTU_4644	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__Christensenellaceae R-7 group	s__
OTU_104	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera	s__
OTU_1067	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__	s__
OTU_16	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_1699	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_5166	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Phaselicystidaceae	g__Phaselicystis	s__
OTU_231	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_13891	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5995	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_515	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_377	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__
OTU_3457	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__	s__
OTU_14000	k__Bacteria	p__Aminicenantes	c__	o__	f__	g__	s__
OTU_1571	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	g__Clostridium sensu stricto 1	s__
OTU_402	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__0319-6A21	g__	s__
OTU_6040	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 21	f__	g__	s__
OTU_255	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_1101	k__Archaea	p__Miscellaneous Crenarchaeotic Group	c__	o__	f__	g__	s__
OTU_2951	k__Archaea	p__Miscellaneous Crenarchaeotic Group	c__	o__	f__	g__	s__
OTU_518	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_1652	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Chryseolinea	s__
OTU_12	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_443	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Azoarcus	s__
OTU_800	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_13640	k__Bacteria	p__Cloacimonetes	c__FGL12-B44	o__	f__	g__	s__
OTU_14008	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__	s__
OTU_1150	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4673	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Sh765B-TzT-35	g__	s__
OTU_124	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__KD3-10	g__	s__
OTU_3740	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__Thermoplasmatales	f__Marine Benthic Group D and DHVEG-1	g__	s__
OTU_5305	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__	s__
OTU_13964	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__
OTU_1330	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	g__Anaeromyxobacter	s__
OTU_919	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Adhaeribacter	s__
OTU_12398	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_5791	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Spongiibacteraceae	g__BD1-7 clade	s__
OTU_4353	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__GR-WP33-58	g__	s__
OTU_470	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__
OTU_1342	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_1719	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_13785	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_1336	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_2519	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Acidobacteriales	f__Acidobacteriaceae (Subgroup 1)	g__Candidatus Koribacter	s__
OTU_7611	k__Bacteria	p__Planctomycetes	c__Pla4 lineage	o__	f__	g__	s__
OTU_5558	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__Chthonomonas	s__
